invoice_id,invoice_date,amount,payment_date
1832,2025-04-01,377.25,2025-05-10
1078,2025-07-24,42.79,2025-08-12
4097,2025-09-05,1638.9,2025-10-14
1536,2025-09-17,62.71,2025-10-05
1840,2025-05-20,501.85,2025-06-11
2331,2025-05-10,725.2,2025-06-01
1077,2025-12-30,1748.16,2026-01-15
2478,2025-10-23,759.78,2025-11-21
1183,2025-10-26,93.03,2025-12-01
1216,2025-03-18,116.24,2025-04-11
2473,2025-09-19,463.92,2025-10-18
2206,2025-12-21,489.8,2026-01-06
3026,2025-07-21,403.13,2025-08-05
1220,2025-08-23,224.65,2025-08-30
2794,2025-05-23,607.81,2025-06-24
3369,2025-11-26,610.8,2025-12-21
2719,2025-04-25,1107.6,2025-05-25
4155,2025-11-21,334.56,2025-12-24
3127,2025-11-04,1529.64,2025-11-10
3355,2025-11-04,710.7,2025-11-29
3455,2025-12-22,110.8,2025-12-31
3382,2025-07-08,1036.0,2025-07-13
3630,2025-11-11,734.54,2025-12-11
4453,2025-08-24,992.04,2025-09-09
793,2025-04-16,553.8,2025-05-20
80,2025-09-02,1209.72,2025-10-02
4443,2025-07-10,604.86,2025-08-07
2854,2025-07-30,906.66,2025-08-09
3042,2025-09-30,2259.4,2025-10-27
2174,2025-09-28,2185.2,2025-10-04
1487,2025-06-27,1405.4,2025-07-23
3186,2025-04-08,331.66,2025-04-16
379,2025-02-17,793.52,2025-02-22
1459,2025-04-22,2171.51,2025-05-18
2674,2025-07-30,1221.96,2025-08-08
1517,2025-06-07,48.98,2025-07-02
2468,2025-11-23,1914.06,2025-12-26
3441,2025-12-01,1392.95,2026-01-03
2838,2025-07-16,1505.52,2025-07-22
2469,2025-10-28,732.68,2025-12-02
1192,2025-04-19,2075.94,2025-05-27
1447,2025-06-26,764.82,2025-08-04
629,2025-10-29,1405.4,2025-12-01
761,2025-10-23,845.4,2025-11-15
1032,2025-01-10,382.88,2025-01-19
3195,2025-06-03,286.68,2025-07-12
1857,2025-06-04,581.2,2025-06-21
3381,2025-11-19,701.26,2025-12-15
4781,2025-09-19,1182.88,2025-10-05
2943,2025-12-08,439.66,2025-12-27
4840,2025-02-17,309.28,2025-03-22
2098,2025-04-23,102.88,2025-05-20
2417,2025-10-24,404.37,2025-10-29
2741,2025-04-09,300.82,2025-04-14
4916,2026-01-02,890.56,2026-02-03
751,2025-01-15,2343.6,2025-01-30
3568,2025-01-12,195.92,2025-02-01
333,2025-09-18,526.3,2025-10-15
2516,2025-12-21,376.26,2026-01-21
4919,2025-08-02,433.44,2025-08-18
3105,2025-11-07,639.8,2025-12-14
1445,2025-01-12,1028.61,2025-01-27
4365,2025-06-12,655.56,2025-07-16
2653,2025-10-07,843.24,2025-10-27
87,2025-05-04,477.85,2025-06-05
2182,2025-05-12,664.56,2025-06-14
4325,2025-09-16,1052.48,2025-10-23
1497,2025-08-09,523.2,2025-09-11
308,2025-04-10,722.4,2025-04-19
2158,2025-08-06,702.59,2025-09-04
2901,2025-02-13,1424.93,2025-03-11
392,2025-08-17,207.0,2025-09-23
37,2025-05-06,727.43,2025-06-01
1261,2025-02-27,142.14,2025-04-07
617,2025-05-17,321.45,2025-06-25
66,2025-04-20,50.09,2025-05-01
2786,2025-10-31,203.6,2025-11-29
3076,2025-05-07,1256.81,2025-05-16
2652,2025-05-09,1016.73,2025-06-16
31,2025-10-14,25.15,2025-11-16
3711,2025-09-02,541.8,2025-10-04
1712,2025-03-29,411.52,2025-04-27
3096,2025-04-14,208.26,2025-05-02
4202,2025-12-16,951.71,2025-12-25
3204,2025-09-29,107.15,2025-10-21
1084,2025-07-25,250.84,2025-09-02
4956,2025-01-10,1410.36,2025-01-26
4122,2025-08-11,1500.12,2025-09-02
2459,2025-12-07,684.64,2026-01-10
1890,2025-01-08,1378.91,2025-02-06
645,2025-04-18,214.3,2025-05-16
991,2025-01-12,759.78,2025-02-08
1568,2025-05-07,725.2,2025-05-18
956,2025-02-12,500.04,2025-03-03
4082,2025-11-21,809.6,2025-12-12
2926,2025-12-05,610.4,2025-12-29
3027,2025-06-16,541.24,2025-07-20
4848,2025-03-11,836.64,2025-04-18
642,2025-05-09,2324.8,2025-06-08
4271,2025-05-23,63.98,2025-06-01
391,2025-02-16,251.5,2025-03-23
1963,2025-06-15,1066.05,2025-07-08
749,2025-04-07,677.82,2025-04-14
1885,2025-11-07,1115.52,2025-11-19
3944,2025-08-17,128.37,2025-09-06
1150,2025-05-11,921.12,2025-06-01
481,2025-07-15,1119.8,2025-08-05
3683,2025-01-17,523.2,2025-01-25
4940,2025-12-27,1150.08,2026-01-30
4161,2025-07-16,415.5,2025-08-23
3114,2025-01-21,215.04,2025-02-02
4116,2025-07-17,502.58,2025-08-15
3720,2025-02-28,1457.28,2025-04-07
3964,2025-06-01,250.84,2025-06-14
4683,2025-09-16,1052.48,2025-10-03
4763,2025-11-21,462.8,2025-12-07
1209,2025-02-15,1250.1,2025-03-01
4611,2025-01-21,833.4,2025-02-25
4476,2025-12-28,1107.6,2026-01-22
3566,2025-03-28,2343.6,2025-04-15
2725,2025-03-30,270.9,2025-04-14
4194,2025-11-13,1062.9,2025-12-12
4631,2025-05-21,503.0,2025-05-27
4196,2025-12-12,844.2,2025-12-23
4413,2025-12-31,1591.05,2026-02-04
1396,2025-02-22,112.97,2025-03-27
2271,2025-09-01,186.06,2025-10-02
4587,2025-04-01,225.9,2025-05-08
2842,2025-07-30,718.88,2025-08-20
1561,2025-01-14,227.7,2025-01-26
4164,2025-12-27,452.7,2026-01-10
3664,2025-06-22,118.45,2025-07-05
2948,2025-11-15,401.48,2025-12-11
4139,2025-01-20,466.2,2025-02-11
543,2025-08-28,404.8,2025-09-17
3894,2025-11-08,503.16,2025-12-03
2865,2025-06-13,775.32,2025-06-30
3317,2025-03-15,466.2,2025-04-20
1058,2025-04-29,290.88,2025-05-16
3996,2025-06-15,1591.05,2025-07-14
3259,2025-03-30,630.24,2025-05-01
4095,2025-05-14,697.2,2025-05-28
3145,2025-11-10,385.92,2025-11-20
414,2025-02-16,20.7,2025-03-04
4935,2025-11-23,259.0,2025-12-15
3019,2025-12-30,1006.32,2026-01-10
1922,2025-11-06,150.9,2025-11-28
4523,2025-06-19,642.9,2025-07-15
4223,2025-03-15,421.62,2025-04-07
4871,2025-06-05,2285.8,2025-06-22
3563,2025-12-16,750.06,2025-12-31
4792,2025-11-20,69.42,2025-12-19
2081,2025-06-20,45.18,2025-07-05
4328,2025-03-12,144.48,2025-04-14
210,2025-01-26,430.08,2025-02-03
1312,2025-01-29,46.28,2025-02-04
29,2025-03-03,180.6,2025-03-20
1844,2025-07-07,1874.88,2025-08-02
978,2025-10-28,764.82,2025-11-15
4362,2025-04-09,290.88,2025-04-30
3334,2025-03-17,1221.96,2025-04-05
1510,2025-12-23,766.92,2025-12-30
3815,2025-02-21,372.6,2025-03-15
4522,2025-05-22,768.06,2025-06-16
4385,2025-09-10,404.37,2025-10-04
4692,2025-05-22,2215.2,2025-06-16
2111,2025-11-16,650.16,2025-11-22
2275,2025-03-31,259.0,2025-04-21
4212,2025-11-05,334.56,2025-11-12
1819,2025-10-13,1066.07,2025-10-25
542,2025-01-25,496.98,2025-02-03
3375,2025-04-24,604.44,2025-05-02
203,2025-07-11,354.3,2025-07-19
2835,2025-01-18,1083.6,2025-01-29
2416,2025-08-05,881.64,2025-08-29
3480,2025-01-21,535.75,2025-02-20
4538,2025-01-29,100.18,2025-02-20
2350,2025-09-19,146.94,2025-10-27
4822,2025-12-13,777.0,2026-01-06
4649,2025-05-07,636.42,2025-06-12
4515,2025-06-01,1406.16,2025-06-08
1451,2025-03-22,200.74,2025-04-14
3299,2025-07-11,1523.34,2025-07-16
4092,2025-12-05,270.9,2025-12-30
995,2025-02-22,575.04,2025-03-29
1677,2025-03-18,775.32,2025-03-25
1208,2025-07-12,362.6,2025-07-18
1745,2025-05-14,382.88,2025-06-16
4215,2025-06-25,372.12,2025-07-22
2752,2025-03-07,923.91,2025-03-26
2228,2025-04-04,289.8,2025-05-13
168,2025-04-19,916.2,2025-05-12
4930,2025-12-06,45.18,2026-01-02
981,2025-07-24,93.03,2025-08-15
3325,2025-11-26,436.32,2025-12-17
2055,2025-12-25,712.6,2026-01-26
2413,2025-02-15,96.96,2025-03-01
2119,2025-07-12,1500.12,2025-08-10
430,2025-07-21,530.35,2025-08-17
4069,2025-12-17,310.8,2026-01-24
2554,2025-06-18,1295.36,2025-07-07
3464,2025-07-01,698.88,2025-07-29
3436,2025-08-30,571.45,2025-09-19
3578,2025-01-25,55.4,2025-02-17
993,2025-12-05,100.81,2025-12-20
3825,2025-04-29,1000.08,2025-05-09
4322,2025-04-30,1528.96,2025-06-03
119,2025-08-18,214.3,2025-09-23
925,2025-02-20,1218.36,2025-03-08
2642,2025-08-22,393.3,2025-09-28
1589,2025-07-25,1376.32,2025-08-19
4487,2025-09-27,334.56,2025-10-26
2726,2025-11-06,854.56,2025-12-05
331,2025-02-10,705.67,2025-03-15
275,2025-05-25,739.3,2025-06-09
267,2025-12-04,1589.16,2026-01-07
3802,2025-06-01,387.84,2025-06-15
4414,2025-01-13,425.16,2025-02-20
4986,2025-06-22,686.08,2025-07-07
1054,2025-12-05,1666.8,2025-12-26
4199,2025-07-06,281.08,2025-07-28
33,2025-02-01,1278.64,2025-03-04
1392,2025-08-15,1803.19,2025-09-08
2728,2025-03-30,72.24,2025-04-23
2312,2025-11-03,1914.06,2025-11-25
3838,2025-11-16,1111.32,2025-12-04
3241,2025-05-13,114.29,2025-06-07
4355,2025-04-08,407.2,2025-04-25
403,2025-05-25,1250.1,2025-06-08
147,2025-10-06,350.63,2025-10-22
36,2025-07-04,100.18,2025-08-02
2139,2025-11-11,361.2,2025-12-20
4663,2025-06-24,318.21,2025-07-07
86,2025-05-26,169.08,2025-06-29
3910,2025-06-28,558.18,2025-07-18
597,2025-11-22,739.3,2025-12-17
3704,2025-05-29,300.54,2025-06-26
4045,2025-03-18,276.65,2025-04-02
1730,2025-03-22,618.56,2025-04-07
296,2025-06-10,633.15,2025-07-11
3764,2025-05-27,447.86,2025-07-04
1926,2025-05-24,2035.85,2025-05-30
1909,2025-06-24,675.36,2025-07-06
3946,2025-11-26,619.96,2025-12-26
705,2025-06-09,89.86,2025-06-17
2746,2025-01-15,271.08,2025-02-09
2373,2025-09-01,665.37,2025-09-25
631,2025-04-08,538.78,2025-04-20
1569,2025-06-08,614.04,2025-07-07
1342,2025-11-28,903.76,2025-12-31
92,2025-06-08,1806.0,2025-07-11
848,2025-04-27,514.4,2025-05-18
2893,2025-11-18,1815.64,2025-12-07
253,2025-03-13,23.69,2025-04-16
3813,2025-02-09,477.85,2025-03-02
4736,2025-09-04,327.78,2025-10-08
3416,2025-04-29,1437.6,2025-05-24
1436,2025-08-04,470.88,2025-08-10
4108,2025-11-09,1624.52,2025-11-27
2017,2025-02-11,80.96,2025-02-16
3033,2025-11-07,449.3,2025-11-24
3506,2025-12-30,89.86,2026-02-02
1773,2025-04-14,159.95,2025-05-22
3007,2025-03-02,1036.0,2025-03-29
2878,2025-10-24,843.24,2025-11-21
2568,2025-06-30,771.84,2025-07-06
1672,2025-06-02,431.28,2025-07-04
3626,2026-01-01,767.27,2026-01-26
4659,2025-01-05,645.12,2025-02-05
2807,2025-10-24,903.6,2025-11-07
68,2025-11-14,1863.37,2025-12-04
2286,2025-12-05,1242.67,2025-12-28
337,2025-08-06,646.92,2025-09-08
3940,2025-08-09,1092.6,2025-08-28
2718,2025-11-08,673.95,2025-11-30
2740,2025-03-31,323.96,2025-04-22
3577,2025-04-13,72.24,2025-05-17
18,2025-07-23,191.44,2025-08-03
1924,2025-10-21,1087.32,2025-10-27
1155,2025-05-12,581.76,2025-06-17
4636,2025-07-24,507.24,2025-08-18
4643,2025-01-12,913.92,2025-01-28
186,2025-06-06,610.4,2025-07-06
1279,2025-03-28,90.36,2025-04-29
2233,2025-06-14,47.86,2025-06-28
3679,2025-10-30,421.62,2025-11-13
3207,2025-05-23,929.92,2025-06-12
4008,2025-04-19,1254.96,2025-05-27
2400,2025-10-15,767.27,2025-10-26
4713,2025-07-14,1092.6,2025-07-24
3045,2025-03-17,855.8,2025-04-15
143,2025-06-16,1285.8,2025-07-17
1052,2025-06-11,1505.52,2025-06-28
3284,2025-06-28,50.3,2025-07-24
1734,2026-01-02,639.8,2026-02-03
1397,2025-01-02,309.28,2025-01-13
256,2025-02-07,497.49,2025-03-01
3093,2025-12-09,820.26,2026-01-09
2213,2025-07-03,1410.36,2025-07-28
207,2025-12-23,727.2,2026-01-19
1910,2025-04-12,1075.2,2025-04-26
4731,2025-10-16,806.48,2025-11-22
4242,2025-07-14,1104.07,2025-08-17
1606,2025-09-06,940.65,2025-09-11
1364,2025-04-22,677.7,2025-05-25
2258,2025-04-30,643.2,2025-05-09
108,2025-12-12,341.11,2026-01-19
1871,2025-06-14,720.16,2025-07-23
2359,2025-02-22,443.2,2025-03-06
2504,2025-06-07,2185.2,2025-07-13
1443,2025-06-01,360.08,2025-06-26
393,2025-07-15,128.64,2025-07-21
1186,2025-09-22,984.2,2025-10-18
2237,2025-05-27,248.4,2025-06-17
46,2025-08-02,376.26,2025-09-07
533,2025-02-11,752.52,2025-03-12
3792,2025-11-17,1096.1,2025-12-11
604,2025-01-16,200.36,2025-02-16
1919,2025-02-10,342.87,2025-03-15
2138,2025-01-11,2285.8,2025-01-19
2582,2025-04-28,1001.8,2025-05-19
4010,2025-04-28,452.7,2025-05-25
565,2025-10-16,783.68,2025-11-21
4252,2025-03-17,647.68,2025-04-14
3459,2025-07-24,2007.4,2025-08-12
1900,2025-03-02,51.8,2025-03-13
2129,2025-05-06,226.35,2025-06-13
946,2025-05-02,171.16,2025-06-01
2974,2025-12-14,671.44,2025-12-20
1006,2025-02-28,462.8,2025-04-05
4902,2025-06-10,401.48,2025-07-19
3406,2025-07-10,913.51,2025-08-17
487,2025-05-20,496.02,2025-06-12
2525,2025-11-21,1715.7,2025-12-23
955,2025-07-10,517.51,2025-08-09
3780,2025-07-17,548.05,2025-07-27
596,2025-02-03,1392.95,2025-02-26
4893,2025-10-03,185.22,2025-10-14
1751,2025-01-29,351.35,2025-02-14
1344,2025-11-15,523.2,2025-12-18
3672,2025-02-15,675.36,2025-03-07
3721,2025-07-08,440.82,2025-07-25
3606,2025-04-01,342.87,2025-04-13
1025,2025-10-06,231.4,2025-11-01
896,2025-04-30,541.24,2025-06-05
1735,2025-12-17,335.02,2026-01-09
3266,2025-08-30,702.7,2025-09-10
4966,2025-07-25,921.12,2025-08-06
3479,2025-06-02,134.79,2025-06-15
1278,2025-02-23,416.52,2025-03-07
3225,2025-10-18,36.12,2025-10-29
3084,2025-02-10,125.42,2025-02-28
232,2025-02-09,112.72,2025-02-17
1178,2025-06-05,335.02,2025-06-30
2781,2025-10-13,872.64,2025-10-20
2165,2025-06-12,430.08,2025-07-10
3963,2025-02-27,874.48,2025-03-21
3548,2025-06-12,509.0,2025-06-27
3062,2025-10-02,734.54,2025-10-24
3844,2025-08-04,639.63,2025-09-10
718,2026-01-01,416.7,2026-01-20
4908,2025-08-17,366.24,2025-08-28
1039,2025-07-03,318.21,2025-08-05
4664,2025-10-23,969.6,2025-12-01
4888,2025-09-07,852.84,2025-09-30
1073,2025-04-16,128.64,2025-05-13
4732,2025-01-15,569.8,2025-01-26
522,2025-09-21,404.8,2025-10-29
4371,2025-08-09,466.2,2025-09-08
2163,2025-04-23,443.04,2025-05-14
1137,2025-11-28,71.07,2025-12-29
1089,2025-09-17,813.23,2025-10-06
2510,2025-06-25,457.16,2025-07-24
4981,2025-10-28,845.4,2025-11-07
4619,2025-07-28,154.64,2025-08-23
990,2025-09-27,302.22,2025-10-28
3660,2025-07-14,414.4,2025-07-21
3131,2025-09-25,1915.39,2025-10-10
3352,2025-03-02,526.46,2025-03-09
3124,2025-10-30,62.1,2025-11-16
4499,2025-08-27,250.92,2025-09-04
187,2025-08-16,655.56,2025-09-16
1235,2025-02-17,789.04,2025-03-07
2484,2025-03-19,725.2,2025-03-27
2509,2025-10-29,632.1,2025-12-04
1138,2025-07-12,673.4,2025-08-04
4120,2025-05-31,814.72,2025-07-08
2689,2025-08-09,450.81,2025-08-21
485,2025-06-27,1254.96,2025-07-05
4607,2025-02-23,802.62,2025-04-02
4179,2025-09-17,573.36,2025-10-15
2036,2025-05-26,341.11,2025-06-03
4983,2025-11-01,1036.0,2025-12-07
2850,2025-12-17,385.11,2025-12-25
4030,2025-08-15,1046.4,2025-09-20
1248,2025-06-15,1806.66,2025-07-09
994,2025-10-14,341.11,2025-10-22
2532,2025-08-22,898.6,2025-09-18
324,2025-10-20,261.6,2025-11-19
3560,2025-04-11,844.2,2025-05-08
102,2025-10-21,498.6,2025-11-18
1925,2025-11-19,335.02,2025-12-18
361,2025-03-17,645.12,2025-03-26
4601,2025-11-16,250.45,2025-12-06
2091,2025-11-23,213.21,2025-12-02
109,2025-08-15,1119.8,2025-09-18
4516,2025-09-05,75.45,2025-10-02
661,2025-12-07,502.58,2025-12-23
1778,2025-11-03,877.94,2025-11-12
2330,2025-06-06,281.8,2025-06-24
2260,2025-08-07,125.75,2025-09-05
2188,2025-03-02,732.68,2025-03-07
1151,2025-11-15,1444.8,2025-12-09
1475,2025-06-16,2215.2,2025-07-17
2778,2025-06-10,564.39,2025-07-12
4748,2025-10-26,393.3,2025-11-16
3509,2025-07-07,913.92,2025-07-23
760,2025-09-16,402.73,2025-10-08
1188,2025-12-22,27.7,2026-01-03
1133,2025-11-12,90.36,2025-12-09
301,2025-05-24,185.12,2025-05-31
3747,2025-08-08,860.04,2025-09-14
3467,2025-05-23,518.0,2025-06-15
250,2025-01-19,394.52,2025-02-08
1332,2025-05-03,678.72,2025-05-09
1145,2025-12-02,248.4,2025-12-22
4767,2025-10-20,1511.12,2025-11-22
209,2025-01-23,470.69,2025-02-19
3714,2025-04-25,1208.19,2025-05-14
1575,2025-09-03,668.72,2025-09-16
2800,2025-01-06,322.56,2025-01-14
726,2025-02-21,1201.86,2025-03-02
2692,2025-12-04,1129.7,2026-01-02
985,2025-04-08,147.86,2025-05-06
4491,2025-08-03,1421.88,2025-08-18
4071,2025-12-29,932.4,2026-01-24
1267,2025-02-16,1714.4,2025-02-21
3779,2025-05-15,1638.9,2025-06-23
4813,2025-12-23,575.52,2026-01-02
1466,2026-01-02,926.1,2026-02-01
1799,2025-07-12,169.08,2025-08-01
2152,2025-08-08,728.64,2025-08-19
546,2025-02-18,574.32,2025-03-01
74,2025-06-13,386.6,2025-06-19
915,2025-05-09,281.8,2025-06-07
1196,2025-06-23,983.78,2025-07-04
972,2025-08-07,290.88,2025-08-20
2655,2025-05-20,874.08,2025-06-17
4338,2025-11-15,505.68,2025-12-15
4289,2025-06-15,581.2,2025-06-27
1049,2025-04-16,288.96,2025-05-17
2623,2025-12-11,1350.33,2026-01-04
4673,2025-11-30,1037.68,2025-12-05
2721,2025-07-04,366.24,2025-07-09
3513,2025-08-08,166.68,2025-08-16
3018,2025-01-22,103.5,2025-02-08
1101,2025-12-06,1527.0,2025-12-16
1631,2025-01-18,223.93,2025-02-11
1752,2025-08-20,925.92,2025-09-22
4686,2025-10-26,526.3,2025-11-09
4899,2025-03-15,1264.86,2025-04-07
3109,2026-01-05,636.42,2026-01-18
4273,2025-01-13,1424.93,2025-02-16
727,2025-06-14,779.46,2025-07-11
1174,2025-05-21,1191.49,2025-06-21
1446,2025-06-17,679.14,2025-07-20
329,2025-10-06,376.26,2025-10-15
2666,2025-05-16,610.4,2025-06-15
3212,2025-08-16,134.79,2025-08-31
4470,2025-07-21,370.24,2025-08-02
3073,2025-04-06,207.0,2025-05-07
516,2025-03-18,1909.26,2025-04-05
1094,2025-07-06,108.36,2025-07-16
861,2025-07-23,1170.96,2025-08-21
2032,2025-04-07,203.6,2025-05-11
4430,2025-01-30,2143.0,2025-02-23
2944,2025-03-26,1714.4,2025-04-05
4823,2025-06-22,342.87,2025-07-03
3603,2025-12-17,864.36,2026-01-20
2907,2025-06-17,2121.4,2025-07-23
2393,2025-02-24,906.66,2025-03-09
1612,2025-05-04,411.52,2025-05-19
3753,2025-12-01,710.7,2025-12-16
219,2025-03-21,1405.18,2025-04-09
966,2025-02-19,1392.95,2025-03-03
1838,2025-08-03,42.88,2025-09-03
21,2025-02-06,558.18,2025-03-07
1356,2025-06-21,335.02,2025-07-02
3005,2025-05-11,976.64,2025-06-04
1474,2025-09-13,109.61,2025-10-03
2631,2025-03-01,53.76,2025-03-27
1892,2025-02-26,971.52,2025-03-10
2638,2025-07-11,926.1,2025-08-16
2651,2025-08-10,675.36,2025-08-31
2442,2025-09-18,881.64,2025-10-09
1154,2025-10-08,636.74,2025-11-13
582,2025-02-02,1505.55,2025-03-05
2328,2025-08-06,1078.2,2025-09-11
4837,2025-03-29,549.36,2025-04-10
1129,2025-11-06,1104.07,2025-11-12
4898,2025-09-21,557.44,2025-10-09
2150,2025-12-01,171.16,2025-12-25
4477,2025-07-26,914.32,2025-08-17
3517,2025-11-03,100.74,2025-11-14
2903,2025-11-15,718.8,2025-12-07
2075,2025-02-18,505.68,2025-03-18
117,2025-11-28,1279.26,2025-12-27
2024,2025-02-14,633.15,2025-03-24
2162,2025-10-27,61.74,2025-11-20
4513,2025-03-25,994.08,2025-04-10
272,2025-03-30,1942.93,2025-05-03
2477,2025-12-04,1468.61,2025-12-23
405,2025-04-23,140.54,2025-05-20
1105,2025-09-02,718.88,2025-09-11
454,2025-12-05,666.72,2025-12-24
139,2025-05-12,100.18,2025-06-12
607,2025-07-07,213.21,2025-07-22
4419,2025-09-03,622.18,2025-09-12
3662,2025-09-16,361.44,2025-10-01
1275,2025-05-21,1814.58,2025-06-17
2284,2025-08-08,166.2,2025-09-15
2874,2025-04-28,1111.32,2025-05-30
2345,2025-12-21,171.16,2026-01-08
759,2025-06-13,393.3,2025-06-18
501,2025-12-11,287.91,2026-01-13
4233,2025-11-28,411.52,2025-12-03
4770,2025-07-10,110.76,2025-07-19
3294,2025-12-27,351.54,2026-01-14
62,2025-09-20,903.6,2025-10-08
4389,2025-01-21,571.45,2025-02-10
3982,2025-03-16,1859.84,2025-04-22
2118,2025-02-08,1417.2,2025-02-17
1064,2025-11-12,1315.32,2025-12-11
770,2025-05-24,286.68,2025-05-31
1529,2025-08-16,1523.34,2025-09-17
2314,2025-01-29,739.3,2025-02-08
2301,2025-11-18,383.88,2025-11-27
2512,2025-11-01,880.6,2025-11-11
1413,2025-04-11,332.28,2025-04-23
3829,2025-11-15,590.94,2025-12-21
2877,2025-07-06,260.59,2025-07-11
4091,2025-10-14,338.91,2025-11-18
1661,2025-04-18,1054.05,2025-05-08
2500,2025-05-01,62.1,2025-05-06
3274,2025-11-18,585.9,2025-11-26
4403,2025-04-30,702.59,2025-05-28
4627,2025-03-15,695.88,2025-04-11
1198,2025-03-15,451.8,2025-04-13
3607,2025-06-03,705.67,2025-07-05
4088,2025-05-01,415.5,2025-05-15
4801,2025-11-09,108.36,2025-11-18
3404,2025-05-03,983.34,2025-05-12
4019,2025-04-08,427.28,2025-05-11
3497,2025-12-26,226.35,2026-01-06
692,2025-07-10,318.21,2025-08-16
1033,2025-09-08,437.04,2025-10-09
4542,2025-08-01,135.54,2025-08-16
2962,2025-03-30,2057.22,2025-04-10
2418,2025-04-20,450.81,2025-04-29
3376,2025-08-14,1583.46,2025-09-15
48,2025-09-21,161.92,2025-10-26
813,2025-09-15,92.56,2025-10-18
4032,2025-12-05,100.37,2026-01-09
1767,2025-06-02,342.87,2025-06-15
313,2025-01-22,418.32,2025-01-30
490,2025-11-23,1966.68,2025-11-29
717,2025-12-08,618.56,2026-01-16
3918,2025-07-21,100.37,2025-08-11
421,2025-01-20,93.03,2025-01-25
1458,2025-03-09,433.44,2025-04-02
455,2025-02-25,1909.26,2025-03-10
2136,2025-04-14,537.6,2025-05-08
1933,2025-10-02,1405.18,2025-10-17
2133,2025-06-23,431.28,2025-07-15
4623,2025-01-18,301.11,2025-02-11
1156,2025-09-02,557.44,2025-09-18
561,2025-03-04,584.09,2025-03-29
270,2025-05-28,1045.8,2025-06-20
2052,2025-07-18,295.47,2025-08-17
1045,2025-11-08,702.7,2025-11-28
